#sample	chromosome	phase_set	from	to	variants
22018LRa001	chr1	1	248312440	248312440	1
22018LRa001	chr1	3220	3220	85877	405
22018LRa001	chr1	86397	86397	172850	143
22018LRa001	chr1	200454	200454	243215	13
22018LRa001	chr1	270133	270133	406541	248
22018LRa001	chr1	406605	406605	743764	415
22018LRa001	chr1	758796	758796	829986	98
22018LRa001	chr1	892199	892199	1065302	162
22018LRa001	chr1	1084484	1084484	1393135	303
22018LRa001	chr1	1397973	1397973	1439362	31
22018LRa001	chr1	1457131	1457131	2094214	989
22018LRa001	chr1	2095363	2095363	2340674	520
22018LRa001	chr1	2340715	2340715	2393273	76
22018LRa001	chr1	2396525	2396525	2721115	689
22018LRa001	chr1	2735078	2735078	2954697	353
22018LRa001	chr1	2958026	2958026	3010255	34
22018LRa001	chr1	3015493	3017181	3096879	96
22018LRa001	chr1	3098413	3098616	3566792	738
22018LRa001	chr1	3575013	3575013	3742848	285
22018LRa001	chr1	3767216	3767216	4400601	1087
22018LRa001	chr1	4405762	4405762	4435347	38
22018LRa001	chr1	4446041	4446041	5320631	1235
22018LRa001	chr1	5342090	5342090	5504655	244
22018LRa001	chr1	5506680	5507134	5623543	121
22018LRa001	chr1	5649553	5649553	5993293	377
22018LRa001	chr1	6011384	6011384	6903447	1003
22018LRa001	chr1	6911240	6911240	7109589	278
22018LRa001	chr1	7134857	7134857	7391380	264
22018LRa001	chr1	7391851	7391851	7396249	17
22018LRa001	chr1	7396619	7396619	7621969	206
22018LRa001	chr1	7634121	7634121	7745944	142
22018LRa001	chr1	7747490	7747726	8426540	692
22018LRa001	chr1	8430351	8430351	8494923	117
22018LRa001	chr1	8502597	8502597	8587092	75
22018LRa001	chr1	8589870	8592346	8594548	2
22018LRa001	chr1	8624838	8624838	8635068	3
22018LRa001	chr1	8635612	8635612	9120795	637
22018LRa001	chr1	9142774	9142774	9148897	4
22018LRa001	chr1	9173509	9173509	9325304	86
22018LRa001	chr1	9354090	9354090	9407375	27
22018LRa001	chr1	9419908	9419908	9499192	29
22018LRa001	chr1	9529465	9529465	9549820	7
22018LRa001	chr1	9589786	9589786	9687292	25
22018LRa001	chr1	9698281	9698281	10713012	979
22018LRa001	chr1	10743462	10743462	11412255	871
22018LRa001	chr1	11412862	11412862	11472064	114
22018LRa001	chr1	11494018	11494018	11494018	1
22018LRa001	chr1	11565704	11565704	11751535	154
22018LRa001	chr1	11752712	11752712	11774267	6
22018LRa001	chr1	11795886	11795886	11829433	6
22018LRa001	chr1	11848968	11848968	11864057	3
22018LRa001	chr1	11895752	11895752	12033760	18
22018LRa001	chr1	12071521	12072027	12179849	201
22018LRa001	chr1	12196771	12196771	12326270	132
22018LRa001	chr1	12328437	12328437	12579601	631
22018LRa001	chr1	12585108	12585108	12875997	404
22018LRa001	chr1	12895249	12895249	14047111	1642
22018LRa001	chr1	14058511	14058511	14218460	210
22018LRa001	chr1	14221183	14221183	14271961	101
22018LRa001	chr1	14300804	14300804	14901304	898
22018LRa001	chr1	14901994	14901994	15247873	495
22018LRa001	chr1	15248860	15248860	16017822	1105
22018LRa001	chr1	16028009	16028009	17262589	3501
22018LRa001	chr1	17279416	17279416	17287612	8
22018LRa001	chr1	17304043	17304043	17672319	437
22018LRa001	chr1	17696626	17696626	17816210	115
22018LRa001	chr1	17851172	17851172	18336328	708
22018LRa001	chr1	18337398	18337398	18433855	106
22018LRa001	chr1	18445602	18445602	18883878	697
22018LRa001	chr1	18883923	18883923	19606880	892
22018LRa001	chr1	19637235	19637235	19700904	80
22018LRa001	chr1	19730295	19730295	21704956	2243
22018LRa001	chr1	21730821	21730821	22612404	1358
22018LRa001	chr1	22626760	22626760	22783709	154
22018LRa001	chr1	22785508	22785508	22793258	7
22018LRa001	chr1	22793439	22793439	23099968	249
22018LRa001	chr1	23128390	23128390	23221465	35
22018LRa001	chr1	23254619	23254619	23265963	2
22018LRa001	chr1	23283421	23283421	23425930	101
22018LRa001	chr1	23440306	23440306	23517949	97
22018LRa001	chr1	23531542	23531542	23900685	400
22018LRa001	chr1	23917754	23917754	24437577	670
22018LRa001	chr1	24438158	24438158	25104268	695
22018LRa001	chr1	25132130	25132130	26129020	1266
22018LRa001	chr1	26131079	26131079	26258331	164
22018LRa001	chr1	26289930	26289930	26293027	2
22018LRa001	chr1	26295389	26295389	26412553	47
22018LRa001	chr1	26416501	26416501	26446156	11
22018LRa001	chr1	26471874	26471874	26553181	18
22018LRa001	chr1	26579668	26579668	26580487	2
22018LRa001	chr1	26605121	26605121	27106865	228
22018LRa001	chr1	27139813	27139813	27283603	37
22018LRa001	chr1	27336626	27336626	27338374	3
22018LRa001	chr1	27360018	27360018	27386991	9
22018LRa001	chr1	27403784	27403784	27446493	12
22018LRa001	chr1	27471360	27471360	27524921	58
22018LRa001	chr1	27548467	27548467	27578124	6
22018LRa001	chr1	27630313	27630313	27640264	4
22018LRa001	chr1	27662209	27662209	27835143	118
22018LRa001	chr1	27862464	27862464	27885162	7
22018LRa001	chr1	27906200	27906200	27916430	2
22018LRa001	chr1	27926490	27926490	30053238	2370
22018LRa001	chr1	30093556	30093556	30115638	4
22018LRa001	chr1	30140251	30140251	30825120	749
22018LRa001	chr1	30856134	30856134	30875611	2
22018LRa001	chr1	30908518	30908518	30940901	4
22018LRa001	chr1	30991683	30991683	30991932	2
22018LRa001	chr1	31068858	31068858	31083915	5
22018LRa001	chr1	31155171	31155171	31194774	4
22018LRa001	chr1	31261714	31261714	31289362	188
22018LRa001	chr1	31352087	31352087	31439405	153
22018LRa001	chr1	31440152	31440152	31585686	123
22018LRa001	chr1	31617308	31617308	31665324	23
22018LRa001	chr1	31706793	31706793	31756820	25
22018LRa001	chr1	31779847	31779847	31802836	4
22018LRa001	chr1	31828199	31828199	31837811	2
22018LRa001	chr1	31858382	31858382	31972396	13
22018LRa001	chr1	31999293	31999293	31999995	2
22018LRa001	chr1	32027561	32027561	32031353	2
22018LRa001	chr1	32046117	32046117	32073372	5
22018LRa001	chr1	32107944	32107944	32186108	11
22018LRa001	chr1	32209124	32209124	32227864	3
22018LRa001	chr1	32259032	32259032	32503169	202
