#Duplication rate	Coverage
1.0	2507390.0
2.0	34713.0
3.0	3031.0
4.0	1438.0
5.0	783.0
6.0	545.0
7.0	330.0
8.0	248.0
9.0	178.0
10.0	146.0
11.0	112.0
12.0	67.0
13.0	76.0
14.0	54.0
15.0	54.0
16.0	39.0
17.0	34.0
18.0	29.0
19.0	23.0
20.0	32.0
21.0	18.0
22.0	13.0
23.0	16.0
24.0	16.0
25.0	12.0
26.0	15.0
27.0	9.0
28.0	5.0
29.0	15.0
30.0	9.0
31.0	4.0
32.0	5.0
33.0	8.0
34.0	6.0
35.0	3.0
36.0	4.0
37.0	8.0
38.0	4.0
39.0	1.0
40.0	2.0
41.0	3.0
42.0	2.0
43.0	1.0
44.0	1.0
45.0	6.0
46.0	3.0
47.0	2.0
48.0	2.0
49.0	3.0
50.0	118.0
