#Duplication rate	Coverage
1.0	9879918.0
2.0	70513.0
3.0	14055.0
4.0	7069.0
5.0	4167.0
6.0	2800.0
7.0	1938.0
8.0	1485.0
9.0	1120.0
10.0	872.0
11.0	742.0
12.0	623.0
13.0	478.0
14.0	420.0
15.0	346.0
16.0	292.0
17.0	270.0
18.0	265.0
19.0	224.0
20.0	190.0
21.0	163.0
22.0	164.0
23.0	126.0
24.0	142.0
25.0	117.0
26.0	115.0
27.0	85.0
28.0	90.0
29.0	82.0
30.0	90.0
31.0	86.0
32.0	77.0
33.0	54.0
34.0	55.0
35.0	70.0
36.0	61.0
37.0	59.0
38.0	58.0
39.0	41.0
40.0	34.0
41.0	49.0
42.0	33.0
43.0	32.0
44.0	32.0
45.0	32.0
46.0	29.0
47.0	24.0
48.0	29.0
49.0	25.0
50.0	1241.0
