Module	Section	Sample Name	Source
QualiMap	genome_results	22018LRa001	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_GRCh38/22018LRa001/qualimap_22018LRa001/genome_results.txt
QualiMap	genome_results	22018LRa002	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_GRCh38/22018LRa002/qualimap_22018LRa002/genome_results.txt
QualiMap	genome_results	22018LRa004	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_GRCh38/22018LRa004/qualimap_22018LRa004/genome_results.txt
QualiMap	genome_results	22018LRa003	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_GRCh38/22018LRa003/qualimap_22018LRa003/genome_results.txt
QualiMap	genome_results	22018LRa007	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_GRCh38/22018LRa007/qualimap_22018LRa007/genome_results.txt
QualiMap	genome_results	22018LRa008	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_GRCh38/22018LRa008/qualimap_22018LRa008/genome_results.txt
QualiMap	genome_results	22018LRa005	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_GRCh38/22018LRa005/qualimap_22018LRa005/genome_results.txt
QualiMap	genome_results	22018LRa006	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_GRCh38/22018LRa006/qualimap_22018LRa006/genome_results.txt
QualiMap	genome_results	22018LRa002.T2T	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa002/qualimap_22018LRa002/genome_results.txt
QualiMap	genome_results	22018LRa001.T2T	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa001/qualimap_22018LRa001/genome_results.txt
QualiMap	genome_results	22018LRa003.T2T	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa003/qualimap_22018LRa003/genome_results.txt
QualiMap	genome_results	22018LRa004.T2T	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa004/qualimap_22018LRa004/genome_results.txt
QualiMap	genome_results	22018LRa006.T2T	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa006/qualimap_22018LRa006/genome_results.txt
QualiMap	genome_results	22018LRa005.T2T	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa005/qualimap_22018LRa005/genome_results.txt
QualiMap	genome_results	22018LRa007.T2T	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa007/qualimap_22018LRa007/genome_results.txt
QualiMap	genome_results	22018LRa008.T2T	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa008/qualimap_22018LRa008/genome_results.txt
QualiMap	coverage_histogram	22018LRa001	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa001/qualimap_22018LRa001/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	22018LRa002	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa002/qualimap_22018LRa002/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	22018LRa004	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa004/qualimap_22018LRa004/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	22018LRa003	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa003/qualimap_22018LRa003/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	22018LRa007	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa007/qualimap_22018LRa007/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	22018LRa008	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa008/qualimap_22018LRa008/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	22018LRa005	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa005/qualimap_22018LRa005/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	22018LRa006	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa006/qualimap_22018LRa006/raw_data_qualimapReport/coverage_histogram.txt
