Module	Section	Sample Name	Source
QualiMap	genome_results	21073LRa021	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa021_genome/genome_results.txt
QualiMap	genome_results	21073LRa022	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa022_genome/genome_results.txt
QualiMap	genome_results	21073LRa023	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa023_genome/genome_results.txt
QualiMap	genome_results	21073LRa024	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa024_genome/genome_results.txt
QualiMap	genome_results	21073LRa025	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa025_genome/genome_results.txt
QualiMap	genome_results	21073LRa026	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa026_genome/genome_results.txt
QualiMap	genome_results	21073LRa027	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa027_genome/genome_results.txt
QualiMap	genome_results	21073LRa028	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa028_genome/genome_results.txt
QualiMap	coverage_histogram	21073LRa021	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa021_genome/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	21073LRa022	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa022_genome/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	21073LRa023	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa023_genome/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	21073LRa024	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa024_genome/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	21073LRa025	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa025_genome/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	21073LRa026	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa026_genome/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	21073LRa027	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa027_genome/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	21073LRa028	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa028_genome/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	21073LRa021	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa021_genome/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	21073LRa022	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa022_genome/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	21073LRa023	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa023_genome/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	21073LRa024	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa024_genome/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	21073LRa025	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa025_genome/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	21073LRa026	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa026_genome/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	21073LRa027	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa027_genome/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	21073LRa028	/mnt/storage1/projects/research/SCA4_2022/ont/qc/qualimap/21073LRa028_genome/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
pycoQC	all_sections	21073LRa021	/mnt/storage1/projects/research/SCA4_2022/ont/qc/pycoqc/per_sample/21073LRa021.pycoQC.json
pycoQC	all_sections	21073LRa022	/mnt/storage1/projects/research/SCA4_2022/ont/qc/pycoqc/per_sample/21073LRa022.pycoQC.json
pycoQC	all_sections	21073LRa023	/mnt/storage1/projects/research/SCA4_2022/ont/qc/pycoqc/per_sample/21073LRa023.pycoQC.json
pycoQC	all_sections	21073LRa024	/mnt/storage1/projects/research/SCA4_2022/ont/qc/pycoqc/per_sample/21073LRa024.pycoQC.json
pycoQC	all_sections	21073LRa025	/mnt/storage1/projects/research/SCA4_2022/ont/qc/pycoqc/per_sample/21073LRa025.pycoQC.json
pycoQC	all_sections	21073LRa026	/mnt/storage1/projects/research/SCA4_2022/ont/qc/pycoqc/per_sample/21073LRa026.pycoQC.json
pycoQC	all_sections	21073LRa027	/mnt/storage1/projects/research/SCA4_2022/ont/qc/pycoqc/per_sample/21073LRa027.pycoQC.json
pycoQC	all_sections	21073LRa028	/mnt/storage1/projects/research/SCA4_2022/ont/qc/pycoqc/per_sample/21073LRa028.pycoQC.json
