#Duplication rate	Coverage
1.0	8589195.0
2.0	28813.0
3.0	4258.0
4.0	2034.0
5.0	1266.0
6.0	842.0
7.0	591.0
8.0	431.0
9.0	346.0
10.0	265.0
11.0	215.0
12.0	210.0
13.0	169.0
14.0	130.0
15.0	142.0
16.0	110.0
17.0	120.0
18.0	80.0
19.0	69.0
20.0	53.0
21.0	46.0
22.0	52.0
23.0	35.0
24.0	34.0
25.0	34.0
26.0	37.0
27.0	37.0
28.0	32.0
29.0	28.0
30.0	21.0
31.0	23.0
32.0	24.0
33.0	23.0
34.0	15.0
35.0	20.0
36.0	14.0
37.0	9.0
38.0	22.0
39.0	14.0
40.0	6.0
41.0	8.0
42.0	10.0
43.0	9.0
44.0	7.0
45.0	8.0
46.0	4.0
47.0	4.0
48.0	7.0
49.0	3.0
50.0	267.0
