#Duplication rate	Coverage
1.0	7571879.0
2.0	53347.0
3.0	10332.0
4.0	4799.0
5.0	2949.0
6.0	1923.0
7.0	1503.0
8.0	1047.0
9.0	793.0
10.0	594.0
11.0	484.0
12.0	428.0
13.0	368.0
14.0	306.0
15.0	267.0
16.0	222.0
17.0	220.0
18.0	189.0
19.0	157.0
20.0	134.0
21.0	146.0
22.0	118.0
23.0	100.0
24.0	95.0
25.0	83.0
26.0	77.0
27.0	59.0
28.0	73.0
29.0	63.0
30.0	59.0
31.0	60.0
32.0	50.0
33.0	47.0
34.0	43.0
35.0	38.0
36.0	34.0
37.0	29.0
38.0	32.0
39.0	27.0
40.0	23.0
41.0	25.0
42.0	23.0
43.0	23.0
44.0	32.0
45.0	19.0
46.0	18.0
47.0	19.0
48.0	19.0
49.0	8.0
50.0	990.0
